Date,Close/Last,Volume,Open,High,Low
1/25/2023,$11.82 ,1904213,$11.50 ,$11.91 ,$11.01 
1/24/2023,$11.90 ,2775669,$11.84 ,$12.19 ,$11.72 
1/23/2023,$11.98 ,2707811,$11.02 ,$11.99 ,$10.96 
1/20/2023,$10.94 ,1960167,$10.27 ,$10.95 ,$10.13 
1/19/2023,$10.18 ,1856516,$10.40 ,$10.62 ,$10.09 
1/18/2023,$10.70 ,1975591,$11.04 ,$11.23 ,$10.66 
1/17/2023,$10.90 ,2863141,$10.79 ,$11.08 ,$10.44 
1/13/2023,$10.81 ,1345499,$10.44 ,$10.91 ,$10.33 
1/12/2023,$10.68 ,1727152,$10.83 ,$10.89 ,$10.30 
1/11/2023,$10.76 ,2544548,$10.40 ,$10.78 ,$10.30 
1/10/2023,$10.37 ,3944108,$10.07 ,$10.37 ,$9.95 
1/9/2023,$10.18 ,3275668,$9.95 ,$10.53 ,$9.92 
1/6/2023,$9.72 ,4199762,$9.89 ,$9.94 ,$9.22 
1/5/2023,$9.85 ,4030132,$9.71 ,$10.01 ,$9.44 
1/4/2023,$10.90 ,3561291,$10.98 ,$11.18 ,$10.57 
1/3/2023,$10.73 ,2575215,$10.81 ,$11.14 ,$10.47 
12/30/2022,$10.53 ,2578053,$10.13 ,$10.60 ,$10.13 
12/29/2022,$10.43 ,2600592,$9.53 ,$10.57 ,$9.44 
12/28/2022,$9.40 ,2654314,$9.22 ,$9.44 ,$9.14 
12/27/2022,$9.30 ,2569536,$9.80 ,$9.80 ,$9.23 
12/23/2022,$9.84 ,2601387,$9.85 ,$9.92 ,$9.67 
12/22/2022,$9.84 ,3079491,$9.94 ,$10.05 ,$9.53 
12/21/2022,$10.20 ,3541004,$9.95 ,$10.43 ,$9.78 
12/20/2022,$9.83 ,2406540,$9.41 ,$9.93 ,$9.40 
12/19/2022,$9.48 ,2003482,$9.85 ,$9.85 ,$9.45 
12/16/2022,$9.82 ,6275103,$9.71 ,$9.98 ,$9.59 
12/15/2022,$9.76 ,5542773,$10.17 ,$10.36 ,$9.74 
12/14/2022,$10.53 ,4061319,$10.48 ,$10.76 ,$10.25 
12/13/2022,$10.56 ,6844839,$11.40 ,$11.93 ,$10.32 
12/12/2022,$10.70 ,4100351,$10.45 ,$10.70 ,$10.33 
12/9/2022,$10.36 ,5542296,$10.33 ,$10.57 ,$10.19 
12/8/2022,$10.41 ,5614383,$10.41 ,$10.95 ,$10.18 
12/7/2022,$10.79 ,5112683,$10.92 ,$11.14 ,$10.58 
12/6/2022,$11.10 ,6689763,$12.86 ,$12.86 ,$10.79 
12/5/2022,$12.83 ,3805301,$14.17 ,$14.25 ,$12.69 
12/2/2022,$14.28 ,2783044,$14.08 ,$14.50 ,$13.81 
12/1/2022,$14.29 ,3669343,$14.30 ,$14.39 ,$13.87 
11/30/2022,$14.41 ,8646262,$13.25 ,$14.46 ,$13.18 
11/29/2022,$13.44 ,2156623,$13.62 ,$13.79 ,$13.29 
11/28/2022,$13.48 ,2572341,$13.45 ,$14.08 ,$13.43 
11/25/2022,$14.02 ,884645,$13.87 ,$14.71 ,$13.79 
11/23/2022,$14.10 ,2215039,$13.92 ,$14.27 ,$13.82 
11/22/2022,$13.96 ,2074373,$13.17 ,$14.01 ,$13.00 
